"date1","date","bal"
"01/01/2005",2005-01-01,150584095.58
"02/01/2005",2005-02-01,139924524.06
"03/01/2005",2005-03-01,141725221.79
"04/01/2005",2005-04-01,126688043.54
"05/01/2005",2005-05-01,148599280.04
"06/01/2005",2005-06-01,261190744.35
"07/01/2005",2005-07-01,246862145.52
"08/01/2005",2005-08-01,243488369.64
"09/01/2005",2005-09-01,268372210.31
"10/01/2005",2005-10-01,253490906.57
"11/01/2005",2005-11-01,265201492.23
"12/01/2005",2005-12-01,272072387.25
"01/01/2006",2006-01-01,260695216.69
"02/01/2006",2006-02-01,247704584.76
"03/01/2006",2006-03-01,260102019.72
"04/01/2006",2006-04-01,248023499.03
"05/01/2006",2006-05-01,255541217.01
"06/01/2006",2006-06-01,349087948.89
"07/01/2006",2006-07-01,1287426.41
"08/01/2006",2006-08-01,323962220.69
"09/01/2006",2006-09-01,340792418.79
"10/01/2006",2006-10-01,329375398.2
"11/01/2006",2006-11-01,318962865.7
"12/01/2006",2006-12-01,321953352.36
"01/01/2007",2007-01-01,9663.82
"02/01/2007",2007-02-01,288905058.23
"03/01/2007",2007-03-01,288047599.61
"04/01/2007",2007-04-01,274461200.16
"05/01/2007",2007-05-01,277916578.22
"06/01/2007",2007-06-01,355639052.63
"07/01/2007",2007-07-01,344191206.4
"08/01/2007",2007-08-01,333149131.92
"09/01/2007",2007-09-01,344285322.73
"10/01/2007",2007-10-01,332219439.41
"11/01/2007",2007-11-01,426234869.04
"12/01/2007",2007-12-01,424991477.8
"01/01/2008",2008-01-01,410639516.95
"02/01/2008",2008-02-01,389547459.07
"03/01/2008",2008-03-01,389618334.78
"04/01/2008",2008-04-01,375059974.45
"05/01/2008",2008-05-01,373338341.97
"06/01/2008",2008-06-01,449810772.5
"07/01/2008",2008-07-01,433092776.24
"08/01/2008",2008-08-01,416685569.77
"09/01/2008",2008-09-01,420526332.84
"10/01/2008",2008-10-01,395510908.51
"11/01/2008",2008-11-01,375824176.19
"12/01/2008",2008-12-01,363341981.47
"01/01/2009",2009-01-01,314100463.59
"02/01/2009",2009-02-01,267408381.56
"03/01/2009",2009-03-01,236787310.61
"04/01/2009",2009-04-01,173278268.09
"05/01/2009",2009-05-01,142389042.17
"06/01/2009",2009-06-01,184016531.45
"07/01/2009",2009-07-01,112445827.64
"08/01/2009",2009-08-01,65939532.43
"09/01/2009",2009-09-01,39242431.44
"10/01/2009",2009-10-01,7752163.15
"11/01/2009",2009-11-01,7669811.77
"12/01/2009",2009-12-01,6932312.04
"01/01/2010",2010-01-01,8946625.33
"02/01/2010",2010-02-01,7722698.32
"03/01/2010",2010-03-01,6896101.04
"04/01/2010",2010-04-01,7132665.49
"05/01/2010",2010-05-01,40459195.56
"06/01/2010",2010-06-01,193187126.72
"07/01/2010",2010-07-01,151980172.19
"08/01/2010",2010-08-01,140583149.74
"09/01/2010",2010-09-01,161803863.6
"10/01/2010",2010-10-01,132530551.28
"11/01/2010",2010-11-01,114990036.24
"12/01/2010",2010-12-01,113729536.69
"01/01/2011",2011-01-01,8006914.55
"02/01/2011",2011-02-01,13109220.7
"03/01/2011",2011-03-01,10849672.88
"04/01/2011",2011-04-01,7038956.92
"05/01/2011",2011-05-01,54306284.36
"06/01/2011",2011-06-01,6833625.99
"07/01/2011",2011-07-01,7321122.68
"08/01/2011",2011-08-01,16859202.25
"09/01/2011",2011-09-01,6787542.84
"10/01/2011",2011-10-01,6955374.68
"11/01/2011",2011-11-01,15246381.66
"12/01/2011",2011-12-01,6888913.97
"01/01/2012",2012-01-01,6951432.64
"02/01/2012",2012-02-01,12508549.59
"03/01/2012",2012-03-01,6901124.93
"04/01/2012",2012-04-01,6967179.13
"05/01/2012",2012-05-01,43931712.73
"06/01/2012",2012-06-01,127226825.92
"07/01/2012",2012-07-01,104633916.28
"08/01/2012",2012-08-01,95535754.58
"09/01/2012",2012-09-01,124592538.75
"10/01/2012",2012-10-01,105081654.61
"11/01/2012",2012-11-01,96132848.07
"12/01/2012",2012-12-01,111586826.01
"01/01/2013",2013-01-01,91179327.59
"02/01/2013",2013-02-01,73263001.16
"03/01/2013",2013-03-01,84567063.25
"04/01/2013",2013-04-01,66779222.92
"05/01/2013",2013-05-01,90654279.82
"06/01/2013",2013-06-01,265385088.31
"07/01/2013",2013-07-01,245566524.12
"08/01/2013",2013-08-01,237760543.84
"09/01/2013",2013-09-01,266007782.78
"10/01/2013",2013-10-01,247502633.82
"11/01/2013",2013-11-01,235485753.15
"12/01/2013",2013-12-01,247029214.41
"01/01/2014",2014-01-01,223622304.5
"02/01/2014",2014-02-01,209598451.5
"03/01/2014",2014-03-01,217193405.67
"04/01/2014",2014-04-01,200948858.26
"05/01/2014",2014-05-01,212720139.03
"06/01/2014",2014-06-01,357137070.55
"07/01/2014",2014-07-01,340898690.6
"08/01/2014",2014-08-01,332171263.44
"09/01/2014",2014-09-01,356661079.15
"10/01/2014",2014-10-01,340255944.08
"11/01/2014",2014-11-01,334364053.58
"12/01/2014",2014-12-01,347034305.67
"01/01/2015",2015-01-01,329082216.38
"02/01/2015",2015-02-01,317907263.63
"03/01/2015",2015-03-01,330658191.86
"04/01/2015",2015-04-01,315336252.69
"05/01/2015",2015-05-01,335546523.49
"06/01/2015",2015-06-01,463592276.74
"07/01/2015",2015-07-01,447525595.72
"08/01/2015",2015-08-01,445405260.02
"09/01/2015",2015-09-01,470302347.66
"10/01/2015",2015-10-01,455240448.13
"11/01/2015",2015-11-01,450109008.64
"12/01/2015",2015-12-01,460322996.92
"01/01/2016",2016-01-01,445381378.51
"02/01/2016",2016-02-01,436033771.38
"03/01/2016",2016-03-01,440639516.62
"04/01/2016",2016-04-01,428121847.7
"05/01/2016",2016-05-01,435314298.39
"06/01/2016",2016-06-01,540226684.83
"07/01/2016",2016-07-01,529107405.03
"08/01/2016",2016-08-01,523465898.47
"09/01/2016",2016-09-01,538281468.45
"10/01/2016",2016-10-01,528785672.97
"11/01/2016",2016-11-01,523774935.94
"12/01/2016",2016-12-01,528891624.71
"01/01/2017",2017-01-01,517881446.83
"02/01/2017",2017-02-01,504828181.54
"03/01/2017",2017-03-01,497669214.76
"04/01/2017",2017-04-01,489735926.71
"05/01/2017",2017-05-01,495396503.39
"06/01/2017",2017-06-01,573639897.78
"07/01/2017",2017-07-01,574485481.45
"08/01/2017",2017-08-01,1148202128.757
